City,ISS-ID,lat,lon,latcity,loncity,nlat,nlon,MODEL,date,hour,alt,sunazt,sunelv,shu,lens,ap,ISO,Coments,NASA,CoordFLAG,URL,small,large,Thumbnail,coordimage
"Calgary,Canada",ISS030-E-223654,50.7,-113.0,51.0453246,-114.0581012,50.7,-113.1,NIKON D3S S/N: 2053892,20120405,100536,211.0,42.0,-25.0,1/40,400.0 mm,2.8,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=223654,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-223654.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-223654.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-223654.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=50.7&lon=-113.1
United States of America,ISS030-E-248846,34.1,-119.0,37.09024,-95.712891,34.1,-119.5,NIKON D3S S/N: 2008336,20120414,094347,212.0,35.0,-40.0,1/100,85.0 mm,1.4,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=248846,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-248846.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-248846.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-248846.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=34.1&lon=-119.5
Riyadh,ISS030-E-237357,25.3,47.1,24.7116667,46.7241667,25.3,47.1,NIKON D3S S/N: 2007934,20120418,213103,213.0,16.0,-52.0,1/40,200.0 mm,2.8,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=237357,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-237357.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-237357.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-237357.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=25.3&lon=47.1
中华人民共和国/China,ISS034-E-38774,29.4,120.0,35.86166,104.195397,29.4,120.6,NIKON D3S S/N: 2008336,20130202,124046,224.0,273.0,-40.0,1/30,400.0 mm,2.8,51200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=38774,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-38774.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-38774.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-38774.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=29.4&lon=120.6
Roterdam,ISS030-E-208933,51.1,9.5,51.9216667,4.4811111,51.1,9.5,NIKON D3S S/N: 2007934,20120406,012756,211.0,35.0,-27.0,1/50,400.0 mm,2.8,6400,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=208933,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-208933.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-208933.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-208933.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.1&lon=9.5
中華民國,ISS034-E-40654,24.1,121.0,23.69781,120.960515,24.1,121.9,NIKON D3S S/N: 2007931,20130203,114927,224.0,264.0,-30.0,1,19.0 mm,2.8,1600,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=40654,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-40654.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-40654.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-40654.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=24.1&lon=121.9
中华人民共和国/China,ISS036-E-28273,38.7,117.0,35.86166,104.195397,38.7,117.3,NIKON D3S S/N: 2008337,20130803,133201,223.0,317.0,-22.0,1/15,400.0 mm,2.8,12800,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS036&roll=E&frame=28273,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS036/ISS036-E-28273.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS036/ISS036-E-28273.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS036/ISS036-E-28273.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=38.7&lon=117.3
中华人民共和国/China,ISS034-E-55035,38.5,117.0,35.86166,104.195397,38.5,117.0,NIKON D3S S/N: 2008336,20130217,143503,222.0,310.0,-54.0,1/40,400.0 mm,3.2,51200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=55035,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-55035.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-55035.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-55035.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=38.5&lon=117.0
Las Vegas,ISS030-E-228309,36.2,-115.0,36.255123,-115.2383485,33.5,-119.0,NIKON D3S S/N: 2053892,20120411,105547,211.0,54.0,-30.0,1/125,85.0 mm,1.4,6400,0.0,1.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=228309,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-228309.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-228309.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS030/ISS030-E-228309.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=33.5&lon=-119.0
Los Angeles,ISS034-E-44034,34.4,-118.0,34.0522342,-118.2436849,34.4,-118.9,NIKON D3S S/N: 2008336,20130210,093503,221.0,49.0,-62.0,1/30,400.0 mm,2.8,51200,0.0,0.0,5.0,http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS034&roll=E&frame=44034,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS034/ISS034-E-44034.jpg,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS034/ISS034-E-44034.jpg,http://eol.jsc.nasa.gov/sseop/images/thumb/ISS034/ISS034-E-44034.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=34.4&lon=-118.9
