linkData,link_big,idiss,link_small,citylat,n_answers,coordimage,citylon,focal
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172121,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172121.JPG,172121,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172121.JPG,24.615815,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=28.5&lon=-77.7,-81.677051,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=217541,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217541.JPG,217541,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-217541.JPG,41.322113,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=39.9&lon=67.6,69.242885,400
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172131,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172131.JPG,172131,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172131.JPG,23.237041,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=24.6&lon=-105.0,-106.436763,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=184194,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-184194.JPG,184194,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-184194.JPG,40.542696,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=39.5&lon=142.6,141.479764,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172746,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172746.JPG,172746,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172746.JPG,37.620365,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=37.7&lon=-120.6,-122.376009,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172732,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172732.JPG,172732,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172732.JPG,37.095619,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=37.1&lon=-121.3,-121.711987,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=188015,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-188015.JPG,188015,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-188015.JPG,23.350675,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=24.3&lon=116.2,116.765624,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=167871,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-167871.JPG,167871,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-167871.JPG,-25.295666,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=-23.6&lon=-56.5,-57.656097,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=166466,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-166466.JPG,166466,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-166466.JPG,34.469167,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=34.4&lon=-102.6,-102.646692,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=188060,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-188060.JPG,188060,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-188060.JPG,30.995261,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=31.1&lon=123.1,121.822607,85
